Price,Processor_Brand,RAM,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD
503890,4.0,32,2.3,0,16.0,176.0,7.0,1024,0
124999,3.0,16,2.7,1,16.0,39.0,4.0,1024,0
36999,4.0,8,4.2,0,16.0,34.0,6.0,512,0
173617,4.0,16,4.8,0,16.0,108.0,7.0,1024,0
58499,3.0,16,4.0,0,16.0,39.0,4.0,512,0
76000,3.0,16,2.0,0,16.0,39.0,4.0,512,0
68990,4.0,8,3.3,0,16.0,61.0,6.0,512,0
89990,4.0,16,2.3,1,16.0,131.0,7.0,1024,0
47990,3.0,16,4.2,0,16.0,39.0,4.0,512,0
47389,3.0,8,4.2,1,16.0,39.0,4.0,512,0
43990,4.0,8,1.2,0,16.0,61.0,6.0,512,0
79990,4.0,16,2.6,0,16.0,104.0,6.0,512,0
94990,4.0,16,2.6,0,16.0,104.0,6.0,512,0
102990,3.0,16,3.1,0,16.0,145.0,7.0,512,0
99990,4.0,16,2.5,0,16.0,108.0,7.0,512,0
53990,3.0,16,4.2,0,16.0,39.0,4.0,1024,0
49990,3.0,8,2.0,0,16.0,39.0,4.0,1024,0
64990,4.0,16,2.0,0,16.0,74.0,7.0,512,0
66990,4.0,8,4.2,1,16.0,74.0,7.0,512,0
99990,4.0,32,2.4,0,16.0,146.0,7.0,1024,0
96698,4.0,16,1.7,0,16.0,145.0,7.0,512,0
191990,3.0,16,4.7,0,16.0,145.0,7.0,1024,0
179990,4.0,16,4.7,0,16.0,145.0,7.0,1024,0
116990,3.0,16,3.4,0,16.0,146.0,7.0,512,0
197990,3.0,32,3.1,0,16.0,150.0,7.0,1024,0
75999,4.0,16,4.2,0,16.0,74.0,7.0,512,0
109990,3.0,16,3.1,0,16.0,145.0,7.0,1024,0
194990,4.0,16,2.2,0,16.0,162.0,7.0,1024,0
62990,4.0,16,2.0,0,16.0,74.0,7.0,512,0
77614,3.0,16,2.0,0,16.0,39.0,4.0,512,0
103839,4.0,16,3.4,0,16.0,104.0,6.0,512,0
114990,4.0,16,2.3,0,16.0,125.0,7.0,1024,0
79990,4.0,16,2.0,0,16.0,125.0,7.0,512,0
99980,3.0,16,3.4,0,16.0,125.0,7.0,512,0
339990,4.0,32,2.2,0,16.0,178.0,7.0,1024,0
211990,4.0,16,4.8,0,16.0,146.0,7.0,1024,0
45900,3.0,8,4.2,0,16.0,39.0,4.0,512,0
42990,3.0,16,2.0,0,16.0,39.0,4.0,512,0
40990,4.0,8,1.2,0,16.0,34.0,6.0,512,0
249990,3.0,32,4.7,0,16.0,145.0,7.0,2048,0
180999,4.0,16,4.8,0,16.0,162.0,7.0,1024,0
121641,4.0,16,3.4,0,16.0,106.0,7.0,512,0
331990,4.0,32,4.8,0,16.0,176.0,7.0,2048,0
274990,4.0,32,4.0,0,16.0,175.0,7.0,1024,0
77590,4.0,16,3.4,0,16.0,107.0,7.0,512,0
127990,3.0,16,4.8,0,16.0,39.0,4.0,1024,0
279990,4.0,32,2.2,0,16.0,175.0,7.0,1024,0
388490,4.0,32,4.8,0,16.0,175.0,7.0,1024,0
159990,4.0,16,2.3,0,16.0,145.0,7.0,512,0
278990,3.0,32,4.8,0,16.0,176.0,7.0,2048,0
281990,4.0,32,4.8,1,16.0,162.0,7.0,1024,0
233990,4.0,16,3.4,1,16.0,125.0,7.0,1024,0
157990,4.0,16,4.8,0,16.0,135.0,6.0,1024,0
67999,4.0,16,2.3,0,16.0,104.0,6.0,512,0
100023,4.0,16,1.2,1,16.0,135.0,6.0,1024,0
323490,4.0,32,2.2,0,16.0,175.0,7.0,1024,0
67990,4.0,16,2.3,0,16.0,104.0,6.0,512,0
329990,4.0,64,1.0,0,16.0,175.0,7.0,2048,0
349990,4.0,32,5.5,0,16.0,178.0,7.0,1024,0
199990,4.0,16,1.6,0,16.0,162.0,7.0,1024,0
149990,4.0,32,5.5,1,16.0,125.0,7.0,1024,0
128990,3.0,16,3.4,1,16.0,125.0,7.0,1024,0
57490,4.0,16,4.7,0,16.0,34.0,6.0,512,0
124990,4.0,16,3.4,1,16.0,108.0,7.0,1024,0
220800,4.0,32,4.0,0,16.0,162.0,7.0,1024,0
247990,4.0,32,1.6,0,16.0,175.0,7.0,1024,0
95630,3.0,16,4.8,0,16.0,108.0,7.0,1024,0
89000,4.0,16,2.3,0,16.0,74.0,7.0,512,0
78990,4.0,16,2.3,0,16.0,108.0,7.0,512,0
89500,4.0,16,2.3,0,16.0,125.0,7.0,512,0
109190,4.0,16,2.4,0,16.0,108.0,7.0,1024,0
78990,4.0,16,2.3,0,16.0,108.0,7.0,512,0
68990,4.0,16,3.4,0,16.0,104.0,6.0,512,0
151990,4.0,16,4.8,0,16.0,125.0,7.0,512,0
271500,4.0,32,4.8,0,16.0,162.0,7.0,1024,0
78299,3.0,16,3.4,0,16.0,39.0,4.0,512,0
89799,3.0,16,3.4,0,16.0,39.0,4.0,512,0
79980,4.0,16,4.0,0,16.0,104.0,6.0,512,0
189990,4.0,32,4.7,0,16.0,159.0,7.0,1024,0
66499,4.0,16,3.3,0,16.0,104.0,6.0,512,0
129990,4.0,16,4.7,0,16.0,131.0,7.0,1024,0
163990,4.0,16,1.4,1,16.0,135.0,6.0,512,0
67852,4.0,16,4.2,0,16.0,107.0,7.0,512,0
215990,4.0,16,2.3,1,16.0,39.0,4.0,1024,0
64990,4.0,16,2.0,0,16.0,108.0,7.0,512,0
88990,4.0,16,4.7,0,16.0,113.0,7.0,1024,0
49190,4.0,8,3.3,0,16.0,34.0,6.0,512,0
139990,4.0,16,2.3,1,16.0,145.0,7.0,1024,0
129990,4.0,32,2.3,0,16.0,150.0,7.0,1024,0
144990,4.0,32,3.4,0,16.0,163.0,7.0,1024,0
114990,4.0,16,2.6,1,16.0,125.0,7.0,512,0
64990,4.0,8,1.2,0,16.0,61.0,6.0,512,0
109990,4.0,16,2.6,0,16.0,108.0,7.0,1024,0
36289,3.0,8,4.0,0,15.6,39.0,4.0,512,0
78500,4.0,16,3.3,0,15.6,108.0,7.0,512,0
21990,4.0,8,1.7,0,15.6,34.0,6.0,512,0
33111,4.0,4,2.2,1,15.6,34.0,6.0,0,1024
48990,4.0,8,2.9,0,15.6,74.0,7.0,512,0
92990,3.0,16,3.4,0,15.6,125.0,7.0,512,0
31490,3.0,8,2.6,0,15.6,39.0,4.0,512,0
47999,4.0,16,4.7,0,15.6,104.0,6.0,512,0
36990,4.0,8,3.3,0,15.6,104.0,6.0,512,0
33900,4.0,8,4.0,0,15.6,34.0,6.0,512,0
31490,4.0,8,3.0,1,15.6,34.0,6.0,256,0
50990,4.0,8,2.5,0,15.6,77.0,7.0,512,0
48990,3.0,8,2.1,0,15.6,77.0,7.0,512,0
47990,4.0,16,2.4,1,15.6,104.0,6.0,256,1024
39250,4.0,8,3.0,0,15.6,34.0,6.0,512,0
56990,4.0,8,2.7,0,15.6,108.0,7.0,512,0
51160,4.0,8,2.5,1,15.6,77.0,7.0,512,0
35199,4.0,8,3.4,0,15.6,34.0,6.0,512,0
32990,4.0,8,1.7,0,15.6,34.0,6.0,512,0
23999,4.0,4,2.4,1,15.6,34.0,6.0,256,0
64990,4.0,16,2.6,0,15.6,104.0,6.0,512,0
72990,3.0,16,3.3,0,15.6,108.0,7.0,512,0
96990,3.0,16,4.7,0,15.6,145.0,7.0,1024,0
89500,3.0,16,3.3,0,15.6,108.0,7.0,512,0
129990,4.0,16,4.8,0,15.6,145.0,7.0,1024,0
65999,4.0,8,2.6,1,15.6,40.0,7.0,256,1024
50990,4.0,8,2.5,0,15.6,77.0,7.0,512,0
141990,3.0,16,3.3,0,15.6,131.0,7.0,512,0
59999,3.0,8,3.4,0,15.6,61.0,4.0,256,0
32990,4.0,8,1.2,1,15.6,34.0,6.0,512,0
49990,4.0,16,4.8,0,15.6,104.0,6.0,512,0
37990,3.0,8,2.6,0,15.6,39.0,4.0,512,0
41990,3.0,8,2.6,0,15.6,39.0,4.0,512,0
55500,4.0,16,3.3,1,15.6,74.0,7.0,512,0
59800,4.0,8,3.3,1,15.6,60.0,6.0,512,0
32990,3.0,8,2.8,0,15.6,39.0,4.0,512,0
33990,4.0,8,1.0,0,15.6,61.0,6.0,256,0
79990,3.0,16,3.3,0,15.6,108.0,7.0,512,0
64551,3.0,8,4.2,0,15.6,131.0,7.0,512,0
23804,4.0,4,1.1,1,15.6,34.0,6.0,0,1024
35990,4.0,8,1.2,0,15.6,34.0,6.0,512,0
37023,4.0,8,4.0,0,15.6,61.0,6.0,512,0
49500,4.0,8,2.5,1,15.6,77.0,7.0,512,0
33990,4.0,8,3.0,0,15.6,34.0,6.0,512,0
36990,3.0,8,2.6,1,15.6,39.0,4.0,256,1024
41999,4.0,8,2.4,0,15.6,104.0,6.0,512,0
50990,4.0,8,2.4,0,15.6,77.0,7.0,512,0
36499,3.0,8,4.0,0,15.6,39.0,4.0,512,0
49490,3.0,8,2.1,0,15.6,77.0,7.0,512,0
49490,3.0,8,2.1,1,15.6,77.0,7.0,512,0
44990,4.0,8,1.0,0,15.6,34.0,6.0,512,0
30990,3.0,8,2.6,0,15.6,39.0,4.0,512,0
36370,4.0,4,2.3,1,15.6,24.0,6.0,0,1024
39990,4.0,8,3.1,1,15.6,104.0,6.0,512,0
40990,4.0,8,3.0,0,15.6,34.0,6.0,512,0
32927,4.0,8,1.6,1,15.6,86.0,7.0,0,1024
48188,4.0,8,1.0,1,15.6,34.0,6.0,512,0
50990,4.0,16,2.4,0,15.6,104.0,6.0,512,0
40550,4.0,8,3.0,1,15.6,34.0,6.0,0,1024
54990,4.0,8,2.4,0,15.6,61.0,6.0,512,0
57999,4.0,8,2.4,1,15.6,58.0,7.0,512,0
53000,4.0,8,2.5,0,15.6,77.0,7.0,512,0
55990,4.0,8,2.5,1,15.6,105.0,7.0,512,0
53000,4.0,8,2.5,0,15.6,77.0,7.0,512,0
38990,3.0,16,2.1,0,15.6,39.0,4.0,512,0
32990,4.0,8,1.2,0,15.6,34.0,6.0,512,0
27990,3.0,8,2.6,0,15.6,39.0,4.0,256,0
34690,4.0,8,2.1,1,15.6,34.0,6.0,256,0
34499,4.0,8,4.0,0,15.6,34.0,6.0,256,1024
37099,4.0,8,3.4,0,15.6,34.0,6.0,512,0
32500,4.0,8,3.0,0,15.6,34.0,6.0,256,0
30900,4.0,4,3.0,1,15.6,34.0,6.0,256,0
60999,4.0,8,2.0,0,15.6,77.0,7.0,512,0
37990,3.0,8,4.0,1,15.6,39.0,4.0,512,0
61899,3.0,16,4.2,0,15.6,39.0,4.0,512,0
46990,4.0,8,3.3,0,15.6,104.0,6.0,512,0
57990,4.0,16,3.3,0,15.6,104.0,6.0,512,0
55990,4.0,8,4.7,1,15.6,77.0,7.0,512,0
22071,4.0,4,1.1,1,15.6,34.0,6.0,0,1024
39448,4.0,8,3.0,0,15.6,34.0,6.0,512,0
59800,4.0,8,4.2,0,15.6,104.0,6.0,512,0
35100,4.0,8,3.0,1,15.6,34.0,6.0,512,0
36990,4.0,8,0.8,0,15.6,34.0,6.0,512,0
57990,4.0,16,3.3,0,15.6,65.0,7.0,512,0
51490,4.0,8,4.2,0,15.6,104.0,6.0,512,0
31990,3.0,8,2.3,0,15.6,39.0,4.0,256,0
47769,4.0,8,2.7,0,15.6,70.0,7.0,512,0
62990,4.0,8,3.3,0,15.6,72.0,7.0,512,0
30360,4.0,4,2.2,1,15.6,34.0,6.0,0,1024
34990,4.0,4,2.1,1,15.6,34.0,6.0,256,0
17990,4.0,4,1.1,0,15.6,34.0,6.0,128,0
60990,4.0,8,2.5,1,15.6,77.0,7.0,256,1024
44800,3.0,16,4.0,0,15.6,39.0,4.0,512,0
48990,3.0,16,4.2,0,15.6,39.0,4.0,512,0
74250,4.0,8,4.7,0,15.6,104.0,6.0,512,0
68200,4.0,8,3.1,1,15.6,77.0,7.0,256,1024
39990,4.0,8,1.2,0,15.6,34.0,6.0,0,1024
48411,4.0,8,3.3,0,15.6,77.0,7.0,512,0
68990,4.0,8,4.2,0,15.6,79.0,7.0,512,0
71490,4.0,8,2.3,0,15.6,70.0,7.0,512,0
35500,4.0,8,4.0,0,15.6,34.0,6.0,512,0
64990,4.0,16,4.2,0,15.6,108.0,7.0,512,0
69990,4.0,16,2.5,1,15.6,145.0,7.0,512,0
51790,4.0,8,2.4,1,15.6,104.0,6.0,0,1024
36300,4.0,8,3.3,0,15.6,34.0,6.0,512,0
55490,3.0,8,4.2,0,15.6,39.0,4.0,512,0
31990,4.0,8,3.3,0,15.6,34.0,6.0,512,0
45990,4.0,8,3.3,0,15.6,61.0,6.0,512,0
37999,4.0,8,1.7,0,15.6,104.0,6.0,512,0
29990,4.0,16,2.4,0,15.6,104.0,6.0,512,0
52100,3.0,16,1.8,1,15.6,39.0,4.0,512,0
35990,4.0,8,3.0,1,15.6,34.0,6.0,512,0
27490,3.0,8,2.6,0,15.6,39.0,4.0,512,0
28990,4.0,8,2.4,0,15.6,104.0,6.0,512,0
50990,3.0,16,4.2,0,15.6,39.0,4.0,512,0
46490,3.0,8,2.8,0,15.6,39.0,4.0,512,0
36990,4.0,8,2.1,0,15.6,34.0,6.0,0,1024
66990,4.0,8,3.1,0,15.6,108.0,7.0,512,0
47990,3.0,8,3.3,0,15.6,77.0,7.0,512,0
51999,4.0,16,2.4,0,15.6,61.0,6.0,512,0
31651,3.0,8,2.6,0,15.6,39.0,4.0,512,0
47990,3.0,16,1.8,0,15.6,39.0,4.0,512,0
61990,4.0,8,4.7,0,15.6,104.0,6.0,512,0
40850,4.0,8,3.0,1,15.6,61.0,6.0,256,1024
34074,3.0,8,2.6,1,15.6,39.0,4.0,512,0
