,GPU
934,RTX 3060
935,Integrated
936,Integrated
937,"Radeon 680M GPU, 6 GB"
938,Arc
939,RTX 3050 Ti
940,Radeon
941,RTX 3050 Ti
942,RTX 4090
943,Radeon
944,RTX 4050
945,Iris Xe
946,Radeon
947,RTX 4060
948,RTX 2050
949,Iris Xe
950,18-core GPU
951,RTX 4090
952,RTX 3060
953,"Arc A370M GPU, 4 GB"
954,Radeon
955,RTX 3080 Ti
956,RTX 4050
957,Integrated
958,RTX 3070 Ti
959,RTX 3050 Ti
960,RTX 3050 Ti
961,Integrated
962,UHD Graphics
963,RTX 3080 Ti
964,Integrated
965,Radeon
966,RTX 4050
967,RTX 4060
968,Arc
969,RTX 4060
970,Arc
971,Radeon 780M
972,Integrated
973,Integrated
974,RTX 4060
975,RTX 4050
976,Iris Xe
977,RTX 4060
978,Iris Xe
979,Iris Xe
980,RTX 3050
981,Arc
982,RTX 2050
983,RTX 2050
984,Iris Xe
985,Radeon
986,Iris Xe
987,UHD
988,Iris Xe
989,Iris Xe
990,Arc
991,RTX 4060
992,UHD
993,Radeon
994,RTX 4050
995,UHD
996,Radeon 610M
997,Iris Xe
998,RTX 2050
999,RTX 3050
1000,Integrated
1001,Integrated
1002,UHD
1003,RTX 2050
1004,Arc
1005,RTX 2050
1006,Iris Xe
1007,Arc
1008,nan
1009,Arc
1010,Arc
1011,Iris Xe
1012,Arc
1013,Radeon
1014,Arc
1015,Arc
1016,Arc
1017,UHD
1018,Arc
1019,Integrated
1020,RTX 4070
1021,UHD
1022,Radeon
1023,Radeon
1024,RTX 4050
1025,RTX 4050
1026,RTX 2050
1027,UHD
1028,RTX 4080
1029,RTX 4050
1030,RTX 2050
1031,Integrated
1032,RTX 2050
1033,RTX 4070
1034,RTX 4070
1035,RTX 3050
1036,Arc
1037,RTX 3050
1038,RTX 3050
1039,Iris Xe
1040,RTX 4050
1041,RTX 3050
1042,RTX 3050
1043,RTX 2050
1044,RTX 2050
1045,RTX 2050
1046,RTX 2050
1047,RTX 3050
1048,Iris Xe
1049,RTX 4050
1050,Arc
1051,RTX 4060
1052,nan
1053,RTX 4050
1054,Radeon
1055,RTX 4070
1056,RTX 4060
1057,RTX 4070
1058,RTX 4070
1059,Radeon
1060,UHD
1061,RTX 3050
1062,Iris Xe
1063,Radeon
1064,Iris Xe
1065,UHD
1066,Arc
1067,RTX 4060
1068,RTX 4090
1069,RTX 4090
1070,RTX 4070
1071,Iris Xe
1072,Radeon 760M
1073,RTX 3050
1074,RTX 4070
1075,Radeon
1076,Arc
1077,RTX 2050
1078,UHD
1079,Arc
1080,RTX 4070
1081,Arc
1082,RTX 4050
1083,Iris Xe
1084,RTX 3050
1085,Iris Xe
1086,RTX 4060
1087,RTX 4050
1088,RTX 2050
1089,RTX 3050
1090,Iris Xe
1091,RTX 4060
1092,RTX 4050
1093,Iris Xe
1094,UHD
1095,RTX 4060
1096,RTX 4080
1097,RTX 4060
1098,UHD
1099,RTX 4070
1100,RTX 4070
1101,Radeon
1102,UHD
1103,Arc
1104,UHD
1105,UHD
1106,UHD
1107,RTX 4070
1108,RTX 4060
1109,Arc
1110,Arc
1111,Integrated
1112,Integrated
1113,RTX 4060
1114,RTX 4070
1115,Radeon
1116,RTX 4080
1117,nan
1118,UHD
1119,UHD
1120,"RTX A500 GPU, 4 GB"
1121,UHD
1122,Integrated Arc
1123,UHD
1124,UHD
1125,Radeon
1126,RTX 3050
1127,Radeon 680M
1128,Iris Xe
1129,Integrated
1130,RTX 2050
1131,Integrated
1132,Radeon
1133,Integrated
1134,Graphics
1135,Iris Xe
1136,Arc
1137,RTX 4050
1138,UHD
1139,UHD
1140,Radeon
1141,UHD 600
1142,Arc
1143,Radeon
1144,Iris Xe
1145,UHD
1146,Arc
1147,RTX 2050
1148,RTX 3050
1149,RTX 4090
1150,UHD
1151,RTX 4070
1152,RTX 4090
1153,RTX 4050
1154,Radeon
1155,RTX 3050
1156,Radeon
1157,RTX 4050
1158,RTX 4050
1159,Iris Xe
1160,RTX 4070
1161,GTX 1650
1162,Iris Xe
1163,Iris Xe
1164,Iris Xe
1165,RTX 4050
1166,Integrated
1167,Radeon
1168,Radeon 610M
1169,RTX 2050
1170,RTX 3050
1171,Iris Xe
1172,Iris Xe
1173,RTX 2050
1174,RTX 4050
1175,Integrated
1176,Radeon
1177,UHD
1178,Iris Xe
1179,Integrated
1180,RTX 4060
1181,Iris Xe
1182,UHD
1183,RTX 4050
1184,RTX 4060
1185,UHD
1186,Iris Xe
1187,Iris Xe
1188,RTX 4060
1189,Radeon
1190,RTX 3050
1191,UHD
1192,RTX 3050
1193,RTX 4060
1194,Radeon 610M
1195,UHD
1196,RTX 4050
1197,Radeon
1198,RTX 3050
1199,Integrated
1200,RTX 4060
1201,RTX 3050
1202,RTX 4050
1203,RTX 4050
1204,Iris Xe
1205,UHD
1206,Iris Xe
1207,Iris Xe
1208,RTX 2050
1209,UHD
1210,Iris Xe
1211,Radeon
1212,UHD
1213,RTX 3050
1214,RTX 4070
1215,Iris Xe
1216,RTX 4050
1217,Iris Xe
1218,UHD
1219,RTX 3050 Ti
1220,Iris Xe
1221,Iris Xe
1222,Iris Xe
1223,"Arc A370M GPU, 4 GB"
1224,RTX 3050 Ti
1225,Integrated
1226,GeForce RTX 4070
1227,Iris Xe
1228,Radeon
1229,Iris Xe
1230,Radeon
1231,Integrated
1232,Radeon
1233,Radeon
1234,Integrated
1235,RTX 3080 Ti
1236,Integrated
1237,Iris Xe
1238,UHD
1239,GTX 1650
1240,MX450
1241,Radeon
1242,Iris Xe
1243,Radeon
1244,Radeon
1245,Iris Xe
1246,UHD
1247,Iris Xe
1248,HD 520
1249,RTX 3070 Ti
1250,Radeon
1251,RTX 3050
1252,UHD
1253,RTX 3050
1254,"T1200 GPU, 4 GB"
1255,RTX 3060
1256,RTX 2080
1257,RTX 3070 Ti
1258,Radeon
1259,RTX 2080
1260,GTX 1650
1261,Integrated
1262,"Quadro T2000  GPU, 4 GB"
1263,RTX 3050
1264,UHD
1265,Integrated HD
1266,Iris Xe
1267,RTX 3070
1268,Radeon
1269,RTX 3050
1270,RTX 3050 Ti
1271,RTX 3050 Ti
1272,Radeon Vega 6
1273,Radeon
1274,UHD Graphics 620
