Price,RAM,Display,SSD
0.557169438,-0.56170288,13.3,1.694916243
0.125817768,0.758043705,14,1.694916243
7.438680399,3.397536874,16,4.794876689
0.180734183,0.758043705,16,0.14493602
0.478549367,0.758043705,15.6,1.694916243
-0.423326767,0.758043705,15.6,0.14493602
0.360913349,0.758043705,16,0.14493602
-0.027285508,0.758043705,14,0.14493602
-0.517435581,-0.56170288,15.6,0.14493602
0.282489338,0.758043705,16,0.14493602
-0.031206709,0.758043705,14,0.14493602
-0.278261952,0.758043705,14,0.14493602
0.184459323,0.758043705,15.6,0.14493602
0.831457419,0.758043705,14,0.14493602
-0.150626873,-0.56170288,15.6,0.14493602
-0.17021327,-0.56170288,14,0.14493602
8.495443956,3.397536874,16,1.694916243
0.210143187,0.758043705,14,0.14493602
0.335601999,0.758043705,14,0.14493602
-0.933082843,-1.221576172,14,-1.405044203
2.958885189,3.397536874,15.6,1.694916243
3.476503271,3.397536874,15.6,1.694916243
-0.032990855,0.758043705,16.1,0.14493602
-0.756452362,-1.221576172,15.6,-0.630054091
0.77263941,0.758043705,15.6,1.694916243
-0.236893285,0.758043705,16,0.14493602
1.215735076,0.758043705,14,0.14493602
-0.517121885,-0.56170288,15.6,-1.405044203
0.439337361,0.758043705,15.6,-0.630054091
1.663163668,0.758043705,14,0.14493602
-0.070418715,-0.56170288,14.1,1.694916243
-0.227266738,0.758043705,15.6,0.14493602
0.968699439,0.758043705,13.3,1.694916243
0.086605763,-0.56170288,15.6,0.14493602
2.025364966,0.758043705,14,1.694916243
-0.227266738,0.758043705,15.6,0.14493602
0.106231371,0.758043705,16,0.14493602
1.230223912,0.758043705,14,1.694916243
-0.697810808,-0.56170288,14,-0.630054091
0.479647303,-0.56170288,13.5,-0.630054091
1.262789483,-0.56170288,15,-0.630054091
-0.599780793,-0.56170288,15.6,-0.630054091
0.288763259,-0.56170288,16.1,0.14493602
-0.638992799,-0.56170288,15.6,0.14493602
0.06699976,-0.56170288,12.4,-1.017549147
1.596091532,0.758043705,14,1.694916243
-0.946944287,-1.221576172,14,-1.405044203
-0.78015602,-1.221576172,15.6,-1.405044203
0.20424178,-0.56170288,12.4,-0.630054091
0.064862705,-0.56170288,15.6,0.14493602
0.380519352,-0.56170288,13.3,-1.017549147
0.008201357,-0.56170288,13.3,-1.017549147
-0.433129769,-0.56170288,14,-0.630054091
-0.638816345,-0.56170288,15.6,0.14493602
-0.344902755,-0.56170288,15.6,-1.405044203
-0.952492786,-1.221576172,15.6,-1.405044203
0.125641314,0.758043705,15.6,0.14493602
-0.30549469,-0.56170288,15.6,0.14493602
-0.168448729,-0.56170288,14,-1.380825762
0.011632407,-0.56170288,14,-1.405044203
-0.30569075,-0.56170288,15.6,-1.356607321
-0.820152266,-1.221576172,14,-1.405044203
0.380519352,-0.56170288,12,-0.630054091
-0.560392333,-0.56170288,14,0.14493602
-0.638247771,-0.56170288,14,-0.630054091
-0.6468352,-0.56170288,14,0.14493602
-0.972294849,-1.221576172,15.6,-1.405044203
0.118524335,0.758043705,15.6,-0.630054091
-1.139984991,-1.551512818,10.1,-1.308170439
-0.501574325,-0.56170288,14,-0.630054091
-0.927671586,-1.221576172,15.6,-1.405044203
-0.641267095,-1.221576172,11.6,-1.356607321
0.184459323,-0.56170288,15.6,-1.017549147
-0.209621335,-0.56170288,15.6,-1.017549147
-0.392251252,-0.56170288,14,-1.405044203
